pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp02,N,30.065,900,1,0.979611111,0.050233333,0.103511111,0.114377778,0.0522,0,0,0.071433333,0.070055556,0.127844444,0.396666667,0.038988889,0.318911111,0.047788889,0.055422222,0.392622222,0.267033333,0.189333333,0.545555556,0,-1.948333333,84.94388889,529.969,0.264444444,0,0.279858889,0.00103,0.074805556,20,11/04/2023 08:32,,0,0,,,,,21,0.312657524,21,0,1.784777812,2.974629686
pp02,N,60.163,1800,1,0.979055556,0.199411111,0.2585,0.389055556,0.139,0.079488889,0.001666667,0.249233333,0.370044444,0.162088889,0.308711111,0.127133333,0.573833333,0.166555556,0.103588889,1.040344444,0.707777778,0.173955556,0.2,0,-8.777555556,79.14611111,525.4333333,0.453333333,0.000113333,0.183644444,0.006576667,0.062561111,21,11/04/2023 08:33,,0,0,,,,,79,0.231039785,79,0.03721538,0.345216504,0.575360839
pp02,N,90.262,2700,1,0.9715,0.100522222,0.030111111,0.2385,0.069144444,0.0033,0,0.068433333,0.306755556,0.240922222,0.578733333,0.033077778,0.417544444,0.123911111,0.105211111,0.467077778,0.247844444,0.1267,0.387777778,0,-5.052888889,87.93644444,526.0886667,0.166666667,0,0.24625,0.003987778,0.057277778,22,11/04/2023 08:33,0.092594667,0,3,15.5941039,0.023056719,1940.53401,,26,0.361966462,26,0,1.232122275,2.053537124
pp02,N,120.36,3600,1,0.9795,0.101066667,0.035555556,0.022966667,0.044544444,0,0,0.018255556,0.179455556,0.107622222,0.367477778,0.027144444,0.534588889,0.067855556,0.073944444,0.241322222,0.238844444,0.121311111,0.746666667,0,-0.932111111,89.76766667,528.4674444,0.005555556,0,0.324574444,0.005156667,0.053667778,23,11/04/2023 08:34,0.0792595,0,2,23.72001635,0.02219599,2963.821569,,54,0.23658087,54,0.037438074,0.529309427,0.882182379
pp02,N,150.458,4500,1,0.9775,0.211044444,0.064666667,0.2505,0.043233333,0,3.33E-05,0.038577778,0.413122222,0.100622222,0.279255556,0.059277778,0.476066667,0.048733333,0.040944444,0.704166667,0.449244444,0.144822222,0.37,0,-2.467888889,87.09933333,525.0572222,0.064444444,0,0.269945556,0.00754,0.044,24,11/04/2023 08:34,,0,0,11.43373876,0.025074721,1385.361145,,51,0.28785302,51,0.019607843,0.459563508,0.76593918
pp02,N,180.556,5400,1,0.972611111,0.152044444,0.064911111,0.301833333,0.085622222,0,0,0.135933333,0.526266667,0.092822222,0.269066667,0.214444444,0.653922222,0.0883,0.244822222,0.695788889,0.461333333,0.1044,0.182222222,0,-2.769444444,79.02011111,529.4904444,0.547777778,0.00023,0.186593333,0.004131111,0.082334444,25,11/04/2023 08:35,0.121008333,0,3,5.370893118,0.023798659,664.8488721,,22,0.291425727,22,0,1.585791046,2.642985077
pp02,N,210.655,6300,1,0.977888889,0.217822222,0.049733333,0.059677778,0.032311111,0,0,0.014411111,0.140944444,0.142044444,0.284944444,0.0278,0.397777778,0.019044444,0.154444444,0.267411111,0.382033333,0.304088889,0.561111111,0,-1.572888889,90.16833333,522.6497778,0.001111111,0,0.327357778,0.001438889,0.073261111,26,11/04/2023 08:35,,0,0,,,,,23,0.254297826,23,0.193805739,1.443249951,2.405416585
pp02,N,240.753,7200,1,0.976222222,0.130544444,0.130077778,0.219822222,0.119688889,0,0.000333333,0.0674,0.052422222,0.033688889,0.178522222,0.127044444,0.218,0.052822222,0.128977778,0.579133333,0.337422222,0.192322222,0.031111111,0,-2.246888889,84.03555556,518.796,0.286666667,0.00193,0.180533333,0.018933333,0.112435556,27,11/04/2023 08:36,,0,0,,,,,64,0.349249531,64,0.070071797,0.454982985,0.758304975
pp02,N,270.851,8100,1,0.973833333,0.1643,0.044888889,0.161377778,0.022377778,0,0,0.035555556,0.417855556,0.0961,0.211644444,0.070388889,0.2772,0.107522222,0.1051,0.724255556,0.340166667,0.198944444,0.265555556,0,1.616888889,83.87733333,523.6453333,0.276666667,0,0.241867778,0.012635556,0.04274,28,11/04/2023 08:36,,0,0,,,,,67,0.289190164,67,0.042196373,0.38096988,0.6349498
pp02,N,300.95,9000,1,0.976555556,0.118477778,0.0201,0.312588889,0.115855556,0,0,0.094066667,0.007533333,0.100444444,0.555411111,0.011666667,0.415622222,0.003377778,0.3199,0.301911111,0.149111111,0.5254,0.543333333,0,1.490444444,93.95877778,522.985,0.013333333,0,0.33734,0.004214444,0.070451111,29,11/04/2023 08:37,0.103522333,0,3,4.492196661,0.03506565,526.442645,,11,0.800377364,11,0.181818182,3.025350744,5.04225124
