pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp02,N,30.065,900,1,0.979611111,0.076980403,0.119579009,0.159325812,0.063938965,0.011344157,0.000241011,0.094123166,0.127506778,0.135920848,0.384408737,0.052118829,0.365820022,0.068843181,0.064815729,0.493490098,0.330946102,0.179793287,0.482673414,2.94E-17,-2.35770562,51.92712371,326.5719535,0.277937992,1.55E-05,0.262876114,0.001981695,0.07114245,20,11/04/2023 08:32,,2.02E-30,0.323064749,6.766342276,0.02038521,,,22.78626718,0.312657524,21,0,1.784777812,2.974629686
pp02,N,60.163,1800,1,0.979055556,0.151331242,0.204739865,0.300884474,0.111335538,0.053851686,0.001121356,0.190974673,0.278330851,0.15209796,0.33836262,0.096639646,0.487207387,0.128512225,0.088651012,0.81632209,0.557403223,0.176204477,0.3079599,1.08E-17,-3.273845334,55.81138641,354.9502121,0.387873943,7.78E-05,0.212640135,0.004901071,0.065689459,21,11/04/2023 08:33,,1.02E-30,0.234261302,6.766342276,0.02038521,,,35.74731374,0.231039785,79,0.03721538,0.345216504,0.575360839
pp02,N,90.262,2700,1,0.9715,0.11837004,0.091075694,0.2600048,0.083393106,0.020583491,0.000387901,0.110394672,0.296998352,0.210176134,0.494723802,0.056078625,0.443152734,0.125525386,0.099451403,0.59343851,0.35794051,0.143911372,0.360140039,3.63E-18,-3.693971904,63.39781481,395.364963,0.241914735,2.60E-05,0.234946594,0.004294219,0.060100809,22,11/04/2023 08:33,0.092594667,4.44E-31,1.296045033,9.687436309,0.022676005,1940.53401,,32.3716077,0.361966462,26,0,1.232122275,2.053537124
pp02,N,120.36,3600,1,0.9795,0.107057661,0.054685237,0.103590643,0.057529063,0.006955825,0.000132506,0.049452053,0.219326503,0.142688008,0.411303703,0.037448287,0.501569544,0.087819061,0.082701834,0.366554203,0.280557743,0.129067314,0.614460602,1.21E-18,-2.901195589,70.96712806,433.5711778,0.085064213,8.64E-06,0.294729094,0.004870087,0.055805987,23,11/04/2023 08:34,0.0792595,1.87E-31,1.593596288,14.71232971,0.022335043,2963.821569,,40.85650636,0.23658087,54,0.037438074,0.529309427,0.882182379
pp02,N,150.458,4500,1,0.9775,0.17510352,0.061232916,0.200609368,0.048005925,0.002347452,6.71E-05,0.042254806,0.347476448,0.114984859,0.324655983,0.051519899,0.485254736,0.062241734,0.055259167,0.584355378,0.390273709,0.139423589,0.453493733,4.02E-19,-2.766000914,76.0004856,462.1153971,0.0713719,2.86E-06,0.278189163,0.006653779,0.047919865,24,11/04/2023 08:34,,7.85E-32,0.899861086,13.50220593,0.024245728,1385.361145,,45.00340028,0.28785302,51,0.019607843,0.459563508,0.76593918
pp02,N,180.556,5400,1,0.972611111,0.160012686,0.063645996,0.267463708,0.073065744,0.000792097,2.29E-05,0.104261585,0.465713391,0.100388001,0.288175271,0.156558452,0.593173909,0.079295753,0.179850409,0.656254457,0.436497537,0.116399146,0.274857408,1.34E-19,-2.767115327,76.97770562,483.9194608,0.387746551,0.000154759,0.217056594,0.004968357,0.070909346,25,11/04/2023 08:35,0.121008333,3.29E-32,1.822513315,10.46555644,0.023934467,664.8488721,,35.46755815,0.291425727,22,0,1.585791046,2.642985077
pp02,N,210.655,6300,1,0.977888889,0.19784619,0.054518489,0.130228032,0.045914982,0.000267271,7.81E-06,0.044788121,0.250936333,0.127824238,0.286055001,0.073545515,0.468150045,0.039863368,0.163152028,0.405360279,0.401068376,0.239787408,0.463361635,4.46E-20,-2.374339254,81.31604721,496.6576768,0.130985117,5.13E-05,0.29067392,0.002610266,0.072480373,26,11/04/2023 08:35,,1.38E-32,1.019542263,10.46555644,0.023934467,,,30.27489801,0.254297826,23,0.193805739,1.443249951,2.405416585
pp02,N,240.753,7200,1,0.976222222,0.15380043,0.104089799,0.189402083,0.095063247,9.02E-05,0.00022232,0.0597553,0.119654314,0.065823671,0.215485184,0.108037331,0.308091534,0.048344499,0.140690556,0.517484487,0.359666258,0.208583497,0.178715001,1.48E-20,-2.332119762,82.21691646,503.9912602,0.234372053,0.001307664,0.21716372,0.013515962,0.099171257,27,11/04/2023 08:36,,5.77E-33,0.569947538,10.46555644,0.023934467,,,44.34359505,0.349249531,64,0.070071797,0.454982985,0.758304975
pp02,N,270.851,8100,1,0.973833333,0.160671891,0.065250535,0.170892935,0.046640097,3.04E-05,7.58E-05,0.043737086,0.316861789,0.085764639,0.212964645,0.083764629,0.288325587,0.087074321,0.117298196,0.650900167,0.346981675,0.202246725,0.235901459,4.94E-21,-1.019789958,82.76870449,510.5226639,0.262459592,0.000433167,0.233651744,0.012927749,0.061474014,28,11/04/2023 08:36,,2.42E-33,0.318543856,10.46555644,0.023934467,,,53.80000684,0.289190164,67,0.042196373,0.38096988,0.6349498
pp02,N,300.95,9000,1,0.976555556,0.133057866,0.03562914,0.264478524,0.092751525,1.03E-05,2.59E-05,0.077051075,0.112295627,0.095433232,0.437699747,0.037281629,0.369776382,0.032297755,0.250460893,0.425720637,0.218265921,0.414689751,0.438352265,1.65E-21,-0.18441032,86.49264275,514.6699865,0.097016708,0.000143488,0.302855525,0.007106254,0.067470899,29,11/04/2023 08:37,0.103522333,1.01E-33,1.501436059,7.110670569,0.033687053,526.442645,,35.93270939,0.800377364,11,0.181818182,3.025350744,5.04225124
pp02,N,331.048,9900,1,0.98,0.39488082,0.265339855,0.239057372,0.046764117,3.46E-06,8.82E-06,0.061344551,0.062456774,0.072790986,0.274436145,0.108556526,0.237442016,0.070156461,0.109372205,0.568762821,0.349234713,0.608755551,0.485533902,5.48E-22,-2.401491841,86.12357607,517.4938459,0.053249295,4.75E-05,0.310515317,0.003956735,0.078324891,30,11/04/2023 08:37,0.096391,4.24E-34,1.280227558,5.034794232,0.026973805,302.7006695,,37.21326068,0.553312615,39,0.102129949,0.837474334,1.395790557
pp02,N,361.146,10800,1,0.978222222,0.185599603,0.112481222,0.370870815,0.051651291,1.17E-06,4.70E-05,0.057924576,0.181802804,0.0995813,0.238799194,0.128098078,0.454551898,0.174106928,0.162818665,0.565954946,0.412231583,0.26544331,0.266772367,1.82E-22,-4.455174363,85.18180578,520.1429411,0.099791581,1.57E-05,0.244089231,0.003007965,0.060889253,31,11/04/2023 08:38,,1.78E-34,0.71545043,5.034794232,0.026973805,,,42.55165975,0.28400892,50,0,0.320703759,0.534506265
pp02,N,391.245,11700,1,0.98,0.158818227,0.07924595,0.615703396,0.090634309,3.94E-07,1.60E-05,0.037763978,0.364789147,0.125075364,0.221685833,0.111315105,0.651293987,0.147160199,0.367543856,0.597743854,0.441404244,0.146168615,0.170851158,6.07E-23,-4.832001397,86.26736772,523.2200308,0.073366289,5.22E-06,0.228969683,0.004069402,0.043872299,32,11/04/2023 08:38,,7.45E-35,0.399825989,5.034794232,0.026973805,,,60.69125225,0.269146233,86,0.044564674,0.471314475,0.785524124
pp02,N,421.343,12600,1,0.98,0.132969988,0.049736905,0.349011689,0.05425907,1.33E-07,5.46E-06,0.030837696,0.264076767,0.171993527,0.369711707,0.114120643,0.663106641,0.093025527,0.296004813,0.352376161,0.291257746,0.155882342,0.334921258,2.02E-23,-3.639797903,87.65012314,523.6457834,0.049732225,1.73E-06,0.263874571,0.004558268,0.056510454,33,11/04/2023 08:39,,3.12E-35,0.223440661,5.034794232,0.026973805,,,66.66513947,0.28786136,75,0.063065267,0.437245,0.728741667
pp02,N,451.441,13500,1,0.979333333,0.144413449,0.125378109,0.201594949,0.084065533,4.49E-08,1.86E-06,0.022399047,0.120511462,0.168082591,0.452108848,0.136701187,0.497395395,0.069964336,0.213975217,0.333665431,0.374094489,0.280713514,0.382167221,6.73E-24,-4.123317753,89.19320543,524.2282939,0.174611873,5.72E-07,0.264467745,0.002118576,0.072061673,34,11/04/2023 08:39,,1.31E-35,0.124868618,5.034794232,0.026973805,,,59.28995614,0.313193327,49,0,0.597588388,0.995980647
pp02,N,481.54,14400,1,0.98,0.131271974,0.059305505,0.098036969,0.051118934,1.52E-08,6.35E-07,0.010639624,0.108129783,0.159648925,0.402598898,0.09841838,0.47024736,0.034886468,0.187613351,0.226514406,0.255951946,0.25198327,0.492688884,2.24E-24,-1.711808864,91.9133462,524.8332227,0.074886808,0.000130967,0.276782445,0.00686018,0.058395821,35,11/04/2023 08:40,,5.48E-36,0.069782155,5.034794232,0.026973805,,,65.84889026,0.26292288,75,0.01706608,0.418073374,0.696788957
pp02,N,511.638,15300,1,0.974166667,0.27144486,0.097098158,0.21208997,0.067480065,5.11E-09,2.17E-07,0.058322885,0.088013203,0.094873151,0.332634642,0.116437196,0.325952147,0.02763802,0.134877466,0.418218406,0.273315549,0.43054584,0.54506338,7.46E-25,-0.558638721,93.45430711,524.8113522,0.0531945,4.34E-05,0.289726571,0.005000471,0.063545339,36,11/04/2023 08:40,,2.29E-36,0.038997381,5.034794232,0.026973805,,,64.65948013,0.209017492,63,0,0.428376762,0.713961269
pp02,N,541.736,16200,1,0.98,0.179181394,0.047530496,0.072304965,0.030570992,1.73E-09,7.39E-08,0.020997698,0.120063967,0.090924403,0.262428174,0.072056478,0.300879314,0.028987516,0.053559618,0.236135892,0.148553067,0.353058615,0.699042725,2.48E-25,1.476145982,94.85683469,525.1598057,0.018606311,1.44E-05,0.298353422,0.005458929,0.054601431,37,11/04/2023 08:41,0.30440725,9.61E-37,1.78641507,6.46872774,0.022771087,907.5553064,,67.3066438,0.273444915,71,0.044011662,0.384328859,0.640548098
pp02,N,571.835,17100,1,0.977333333,0.209036588,0.15180922,0.279409644,0.061220768,5.82E-10,2.52E-08,0.086617232,0.201092574,0.107491229,0.333658027,0.132358694,0.288387034,0.096711136,0.128550671,0.483803646,0.39545739,0.353027379,0.384314017,8.27E-26,-0.244152477,93.61614085,528.8034778,0.181865573,4.76E-06,0.252685414,0.002876264,0.06242151,38,11/04/2023 08:41,0.095085,4.03E-37,1.439483815,8.672432465,0.02149278,1378.278599,,66.7611207,0.272684561,66,0.13130953,0.540239681,0.900399468
pp02,N,601.933,18000,1,0.98,0.17207246,0.078543299,0.180054274,0.046432069,1.96E-10,8.59E-09,0.050707876,0.199062074,0.154903893,0.322711383,0.054968777,0.317366323,0.042230438,0.115109197,0.322098531,0.382670172,0.204121439,0.535860066,2.75E-26,-0.814334936,99.46331521,532.9191451,0.067730932,1.58E-06,0.298130255,0.002031738,0.067698608,39,11/04/2023 08:42,0.100683,1.69E-37,1.686758557,7.467286881,0.019032701,704.860622,,68.53085058,0.289810873,71,0.028169014,0.364949226,0.608248711
