pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp02,N,60.163,1800,1,0.979333333,0.124822222,0.181005556,0.251716667,0.0956,0.039744444,0.000833333,0.160333333,0.22005,0.144966667,0.352688889,0.083061111,0.446372222,0.107172222,0.079505556,0.716483333,0.487405556,0.181644444,0.372777778,0,-5.362944444,82.045,527.7011667,0.358888889,5.67E-05,0.231751667,0.003803333,0.068683333,10,11/04/2023 08:32,0.083382333,0,3,5.659959557,0.031435614,703.8086195,,27,0.366752556,27,0.037037037,2.83059378,4.7176563
pp02,N,120.36,3600,1,0.9755,0.100794444,0.032833333,0.130733333,0.056844444,0.00165,0,0.043344444,0.243105556,0.174272222,0.473105556,0.030111111,0.476066667,0.095883333,0.089577778,0.3542,0.243344444,0.124005556,0.567222222,0,-2.9925,88.85205556,527.2780556,0.086111111,0,0.285412222,0.004572222,0.055472778,11,11/04/2023 08:33,0.092594667,0,3,15.5941039,0.023056719,1940.53401,,105,0.263459724,105,0.028000143,0.564831266,0.941385443
pp02,N,180.556,5400,1,0.975055556,0.181544444,0.064788889,0.276166667,0.064427778,0,1.67E-05,0.087255556,0.469694444,0.096722222,0.274161111,0.136861111,0.564994444,0.068516667,0.142883333,0.699977778,0.455288889,0.124611111,0.276111111,0,-2.618666667,83.05972222,527.2738333,0.306111111,0.000115,0.228269444,0.005835556,0.063167222,12,11/04/2023 08:34,0.0792595,0,2,19.80682255,0.023112869,2461.080076,,105,0.261484486,105,0.028777676,0.495432838,0.825721396
pp02,N,240.753,7200,1,0.977055556,0.174183333,0.089905556,0.13975,0.076,0,0.000166667,0.040905556,0.096683333,0.087866667,0.231733333,0.077422222,0.307888889,0.035933333,0.141711111,0.423272222,0.359727778,0.248205556,0.296111111,0,-1.909888889,87.10194444,520.7228889,0.143888889,0.000965,0.253945556,0.010186111,0.092848333,13,11/04/2023 08:35,0.121008333,0,3,5.370893118,0.023798659,664.8488721,,45,0.272449244,45,0.099056267,1.512936709,2.521561181
pp02,N,300.95,9000,1,0.975194444,0.141388889,0.032494444,0.236983333,0.069116667,0,0,0.064811111,0.212694444,0.098272222,0.383527778,0.041027778,0.346411111,0.05545,0.2125,0.513083333,0.244638889,0.362172222,0.404444444,0,1.553666667,88.91805556,523.3151667,0.145,0,0.289603889,0.008425,0.056595556,14,11/04/2023 08:36,,0,0,,,,,131,0.318532145,131,0.055814901,0.417128954,0.695214924
pp02,N,361.146,10800,1,0.979111111,0.304111111,0.209055556,0.332311111,0.038911111,0,3.33E-05,0.05475,0.139927778,0.087261111,0.204527778,0.14335,0.369855556,0.159566667,0.113244444,0.605911111,0.432838889,0.398211111,0.331666667,0,-7.704666667,84.34027778,524.2985,0.077222222,0,0.262660556,0.002464444,0.067971667,15,11/04/2023 08:37,0.1017395,0,4,3.709111411,0.031015314,442.6025368,,50,0.60766686,50,0.11966136,1.318807144,2.198011907
pp02,N,421.343,12600,1,0.98,0.132,0.048044444,0.476738889,0.0731,0,0,0.027383333,0.3355,0.1673,0.329983333,0.108866667,0.715894444,0.098688889,0.3665,0.416344444,0.333833333,0.122477778,0.270555556,0,-3.419888889,89.42916667,526.9388889,0.048888889,0,0.251351667,0.004698889,0.049103333,16,11/04/2023 08:38,,0,0,,,,,136,0.274610456,136,0.028180603,0.415942888,0.693238147
pp02,N,481.54,14400,1,0.979666667,0.137394444,0.09485,0.085305556,0.066805556,0,0,0.011361111,0.074388889,0.160666667,0.435966667,0.113233333,0.429544444,0.037077778,0.172533333,0.245488889,0.305538889,0.291388889,0.478333333,0,-0.988111111,94.81977778,525.7191111,0.131111111,9.78E-05,0.273841111,0.005061111,0.065697222,17,11/04/2023 08:39,,0,0,,,,,124,0.297871573,124,0.038144315,0.5006065,0.834344167
pp02,N,541.736,16200,1,0.977083333,0.237961111,0.069227778,0.135583333,0.043877778,0,0,0.042305556,0.107094444,0.075088889,0.260822222,0.086983333,0.26575,0.026755556,0.059266667,0.329822222,0.182083333,0.418138889,0.675555556,0,3.649111111,97.10127778,525.3123889,0.021666667,0,0.299414444,0.004881667,0.058130556,18,11/04/2023 08:40,,0,0,,,,,138,0.238313899,138,0.009275043,0.422777095,0.704628491
pp02,N,601.933,18000,1,0.978666667,0.188677778,0.123305556,0.257427778,0.0578,0,0,0.07625,0.220305556,0.147777778,0.343972222,0.088955556,0.307516667,0.072966667,0.137877778,0.426583333,0.451955556,0.239766667,0.417777778,0,-2.821444444,101.1496667,538.6265,0.137222222,0,0.275352222,0.001602778,0.068314444,19,11/04/2023 08:41,0.2625428,0,5,9.125006655,0.021710929,1139.654514,,137,0.273078613,137,0.086067569,0.459439182,0.76573197
