pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp02,N,60.163,1800,1,0.979333333,0.123543115,0.149404726,0.229604864,0.087343922,0.031106012,0.000647533,0.136492677,0.230063171,0.143660692,0.358976061,0.07633145,0.446362514,0.100815444,0.085034878,0.638856426,0.436966191,0.170735056,0.38939979,9.19E-11,-2.686869966,51.94631435,325.8557444,0.309422646,6.41E-05,0.236750402,0.004066956,0.066226756,10,11/04/2023 08:32,0.078906753,1.30E-14,1.943633522,7.078613473,0.029432612,713.3623681,0.363799062,33.96871081,0.341494364,33.96871081,0.036131664,1.306995509,2.101702909
pp02,N,120.36,3600,1,0.9755,0.109531117,0.07714978,0.168276086,0.068057899,0.012723804,0.000244066,0.077920374,0.23823197,0.162715787,0.428896621,0.048291119,0.463897282,0.09777296,0.087826539,0.468400144,0.320110142,0.141657632,0.500717629,3.36E-11,-2.730472371,57.21128296,354.5912613,0.168940929,2.33E-05,0.267638263,0.004387938,0.059388649,11,11/04/2023 08:33,0.083725878,7.36E-15,2.226504206,8.996517148,0.025313521,918.5204147,0.363799062,52.73340201,0.292322271,52.73340201,0.030986963,1.109517181,1.803659534
pp02,N,180.556,5400,1,0.975055556,0.156680013,0.069048567,0.239326071,0.065652186,0.004357013,9.45E-05,0.08408543,0.390968607,0.119396472,0.327807413,0.105636869,0.528176044,0.078672497,0.123658613,0.617366187,0.407265329,0.130449915,0.352653832,1.13E-11,-2.704075307,63.31389174,395.3609687,0.259647372,8.43E-05,0.241493425,0.005349624,0.061900061,12,11/04/2023 08:34,0.081720892,3.55E-15,2.139846063,12.55060898,0.023825841,1333.408623,0.363799062,72.79706514,0.271875521,72.79706514,0.029519281,0.874724219,1.437395319
pp02,N,240.753,7200,1,0.977055556,0.168219717,0.08280504,0.173313146,0.072545161,0.001475045,0.000142263,0.055413262,0.195647395,0.098574904,0.264578891,0.087227918,0.386807233,0.050586431,0.135486467,0.491431271,0.376372252,0.208352569,0.315164443,3.75E-12,-2.476153134,70.14064708,431.3382014,0.182676949,0.00067258,0.249803728,0.008578293,0.0825689,13,11/04/2023 08:35,0.100454157,1.64E-15,2.504085586,9.87696231,0.023807381,1119.74514,0.363799062,60.95025405,0.272258051,60.95025405,0.075959628,1.145152917,1.889929727
pp02,N,300.95,9000,1,0.975194444,0.150516335,0.0495978,0.215554433,0.070260037,0.000498713,4.80E-05,0.061657414,0.206969151,0.09837488,0.342928742,0.057056292,0.360852394,0.053784974,0.185985084,0.505494725,0.290680484,0.310185647,0.37439817,1.25E-12,-1.219033089,75.99824094,460.0307112,0.157609259,0.000223075,0.276379979,0.008475905,0.065213396,14,11/04/2023 08:36,0.100454157,7.56E-16,1.410474646,9.87696231,0.023807381,1119.74514,0.363799062,91.75760153,0.303129693,91.75760153,0.06249812,0.82689674,1.374288808
pp02,N,361.146,10800,1,0.979111111,0.251869886,0.154855936,0.293021988,0.049364352,0.00016859,3.83E-05,0.057067649,0.162440529,0.091029947,0.251757041,0.113417825,0.366637872,0.123358899,0.138283779,0.570725659,0.38316457,0.368465766,0.346045437,4.14E-13,-3.317615162,78.69746528,480.8260257,0.104121487,7.40E-05,0.267218396,0.004460476,0.067056594,15,11/04/2023 08:37,0.101204351,3.47E-16,2.552223015,6.952723079,0.029434708,836.0475647,0.363799062,73.21600524,0.506314727,73.21600524,0.100699314,1.044011721,1.733557372
pp02,N,421.343,12600,1,0.98,0.172769748,0.084348934,0.414918534,0.065185505,5.70E-05,1.29E-05,0.037343179,0.277386914,0.141436207,0.30328924,0.110445262,0.591076334,0.107132957,0.287943338,0.470437353,0.351070656,0.205599946,0.295956797,1.38E-13,-3.351247806,82.22652445,495.9901499,0.067370644,2.45E-05,0.256622797,0.004619728,0.055059371,16,11/04/2023 08:38,0.101204351,1.59E-16,1.42359499,6.952723079,0.029434708,836.0475647,0.363799062,101.1759648,0.351722116,101.1759648,0.052235987,0.765975111,1.278318757
pp02,N,481.54,14400,1,0.979666667,0.149426146,0.09128077,0.196219412,0.066265362,1.93E-05,4.36E-06,0.020078744,0.142555169,0.15414548,0.390691692,0.11226628,0.487272831,0.061056262,0.2122597,0.324307245,0.321448549,0.262399885,0.416966404,4.57E-14,-2.568537267,86.39756324,505.8368503,0.109782519,7.35E-05,0.268120968,0.004914557,0.062168095,17,11/04/2023 08:39,0.101204351,7.29E-17,0.793484867,6.952723079,0.029434708,836.0475647,0.363799062,111.3494921,0.315793106,111.3494921,0.042818696,0.648392198,1.083835164
pp02,N,541.736,16200,1,0.977083333,0.207848975,0.07672342,0.155987197,0.051342757,6.51E-06,1.47E-06,0.034847906,0.119002073,0.101897559,0.305139005,0.095752825,0.34491794,0.038495998,0.111929827,0.327889856,0.230780149,0.365513012,0.58854425,1.52E-14,-0.50257353,89.9540828,512.3080437,0.051151655,2.44E-05,0.28901836,0.004892588,0.059470016,18,11/04/2023 08:40,0.101204351,3.34E-17,0.442173553,6.952723079,0.029434708,836.0475647,0.363799062,123.2319094,0.26409909,123.2319094,0.020401883,0.548395253,0.917668633
pp02,N,601.933,18000,1,0.978666667,0.195198201,0.10747265,0.223293315,0.055646878,2.20E-06,4.97E-07,0.062358568,0.186288087,0.132219461,0.33072075,0.091313218,0.320883151,0.06116805,0.128945992,0.392002719,0.374672737,0.282257707,0.475238077,5.04E-15,-1.274166799,93.67930913,521.0653654,0.108421616,8.08E-06,0.279892279,0.002695103,0.065380286,19,11/04/2023 08:41,0.215555514,1.53E-17,2.460305736,8.267213033,0.022734907,1003.012076,0.363799062,129.3710831,0.27009022,129.3710831,0.064285462,0.508964732,0.851083831
pp02,N,662.13,19800,1,0.975622222,0.211186918,0.088706973,0.1922495,0.048172409,0.007995716,6.64E-05,0.051256142,0.231089061,0.183568974,0.349382906,0.099632198,0.392767399,0.134707558,0.119414296,0.418530551,0.447830262,0.209834744,0.437480899,1.68E-15,0.285116574,97.71302964,525.3786878,0.172313651,2.68E-06,0.250015066,0.002770737,0.062302813,20,11/04/2023 08:42,0.153588725,7.03E-18,2.25648418,7.094025802,0.019408901,875.1674118,0.363799062,129.6515237,0.285642465,129.6515237,0.05748189,0.484411059,0.809392883
pp02,N,722.326,21600,1,0.98,0.198265484,0.107823492,0.166863471,0.033219186,0.002702894,0.000924134,0.057671629,0.178078222,0.113799214,0.228460631,0.076155971,0.321450442,0.191529608,0.056643067,0.449887165,0.409545553,0.198037582,0.394549394,5.57E-16,1.948782996,99.95449569,529.2852548,0.165968637,0.000411567,0.226976731,0.008305837,0.049735642,21,11/04/2023 08:43,0.123841029,3.22E-18,3.028512645,5.86828375,0.02324173,733.8788126,0.363799062,120.4427222,0.294849152,120.4427222,0.035189134,0.518017038,0.863874666
pp02,N,782.523,23400,1,0.97975,0.226384665,0.14122777,0.192086073,0.089908192,0.000913694,0.000311908,0.05614004,0.137690734,0.099840213,0.171847916,0.075448124,0.357751025,0.131471246,0.083414397,0.497317469,0.428751446,0.236877347,0.375311537,1.85E-16,0.935540912,102.3616669,531.419681,0.125770749,0.000776268,0.245542282,0.007059148,0.060396741,22,11/04/2023 08:44,0.103015049,1.48E-18,5.229892092,9.968492603,0.020744299,1204.758151,0.363799062,106.4219408,0.312038693,106.4219408,0.046007211,0.561563008,0.935405435
pp02,N,842.72,25200,1,0.976305556,0.224866053,0.117155845,0.234847009,0.079141536,0.011985056,0.000127334,0.082031657,0.236629828,0.110072161,0.180530271,0.153903065,0.334912386,0.139061246,0.084814886,0.68852782,0.484078817,0.229109119,0.227288352,6.14E-17,1.821428402,102.7533966,531.5635438,0.307868797,0.00036957,0.207947306,0.006293781,0.065249288,23,11/04/2023 08:45,0.103015049,6.78E-19,2.914088876,9.968492603,0.020744299,1204.758151,0.363799062,63.87183416,0.541044146,63.87183416,0.136768029,1.760775423,2.911716581
pp02,N,902.916,27000,1,0.976111111,0.238570054,0.139841354,0.34345336,0.078473214,0.016599229,4.30E-05,0.075111154,0.180735835,0.141901524,0.299815266,0.117466405,0.368638389,0.203583505,0.139114693,0.633945593,0.410884131,0.273650648,0.386488148,2.04E-17,-0.385924765,104.5308984,533.304732,0.181015644,0.000158919,0.24673382,0.005159793,0.061317866,24,11/04/2023 08:46,0.103015049,3.11E-19,1.623726095,9.968492603,0.020744299,1204.758151,0.363799062,70.61771685,0.365033746,70.61771685,0.094288653,1.475602682,2.451845451
pp02,N,963.113,28800,1,0.977416667,0.197808967,0.162125699,0.376172872,0.127775567,0.016173145,0.000147003,0.099379231,0.277073027,0.151824919,0.331023073,0.110717403,0.428145278,0.207610105,0.221405539,0.567380832,0.535249472,0.138263994,0.316200243,0.001854937,-1.369634681,106.1777253,532.3979521,0.113431809,0.001361599,0.235999186,0.009980799,0.078473594,25,11/04/2023 08:47,0.096568731,1.42E-19,2.233142225,7.016867718,0.028483896,898.3309995,0.363799062,82.38198502,0.309492178,82.38198502,0.045055827,1.098799894,1.83422858
pp02,N,1023.309,30600,1,0.98,0.205278076,0.097645549,0.185337963,0.057081248,0.005467216,4.96E-05,0.041018894,0.22953406,0.121557922,0.242540179,0.121355948,0.374953703,0.146325866,0.131607317,0.442147295,0.317735177,0.223778279,0.464326195,0.000616252,0.699558146,106.5385451,534.1046654,0.107451762,0.000493851,0.243765349,0.014296447,0.044661549,26,11/04/2023 08:48,0.09193296,6.53E-20,2.129906499,6.936418996,0.03077988,825.6308141,0.363799062,76.41475076,0.339880257,76.41475076,0.024630898,0.993767953,1.659886669
