,,0
pause_rate,pause_dur,1.000000000000001
AU1_InnerBrowRaiser,AU1_InnerBrowRaiser,1.0
headOrient_y,headOrient_x,0.9999991965396455
move_speed,move_dist,0.9481868746220684
AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,0.7866262422735399
AU12_LipCornerPuller,AU6_CheekRaiser,0.6476529763652473
AU15_LipCornerDepressonr,AU17_ChinRaiser,0.6432380140675803
AU12_LipCornerPuller,AU14_Dimpler,0.5885676949528444
AU14_Dimpler,AU10_UpperLipRaiser,0.5803121187470506
AU5_UpperLipRaiser,AU2_OuterBrowRaiser,0.5763510087407674
press_dur,pause_rate,0.5433641298192627
pause_dur,press_dur,0.5433641298127843
AU1_InnerBrowRaiser,AU5_UpperLipRaiser,0.5308226726598909
AU25_LipsPart,AU26_JawDrop,0.5278460372190076
backsp_dur,press_dur,0.5191810365257771
AU20_LipStretcher,AU15_LipCornerDepressonr,0.5188446563405347
AU20_LipStretcher,AU17_ChinRaiser,0.5158450786770175
gazeRight,AU17_ChinRaiser,0.4832561894566633
AU17_ChinRaiser,AU25_LipsPart,0.48300769625246687
gazeRight,AU15_LipCornerDepressonr,0.46601776898425495
AU12_LipCornerPuller,AU10_UpperLipRaiser,0.4629013483671827
AU10_UpperLipRaiser,AU4_BrowLowerer,0.4583128787761089
AU26_JawDrop,AU17_ChinRaiser,0.4468099607491231
AU15_LipCornerDepressonr,AU25_LipsPart,0.4441698692831182
AU4_BrowLowerer,AU14_Dimpler,0.4384039619792066
AUc45_BlinkRate,AU45_BlinkInt,0.4339338789619149
AU5_UpperLipRaiser,AUc28_LipSuck,0.43384389594004114
gazeRight,AU25_LipsPart,0.43041852632093874
AU25_LipsPart,AU20_LipStretcher,0.42343619290162704
AU10_UpperLipRaiser,gazeCenter,0.41931075515578714
AU1_InnerBrowRaiser,AUc28_LipSuck,0.4120462042131825
AU6_CheekRaiser,AU7_LidTightener,0.3859470680009307
AU1_InnerBrowRaiser,AU26_JawDrop,0.38381911734478885
AU25_LipsPart,AU1_InnerBrowRaiser,0.3636458867803537
AU2_OuterBrowRaiser,AUc28_LipSuck,0.36155030271923594
AU20_LipStretcher,AU26_JawDrop,0.35117575013671715
AU15_LipCornerDepressonr,AU26_JawDrop,0.34012655168381406
AU23_LipTightener,AU9_NoseWringler,0.3390199117143892
AUc28_LipSuck,AU25_LipsPart,0.3370986706077327
AU25_LipsPart,AU5_UpperLipRaiser,0.32693099761209843
Lclick,press_dur,0.3262921697311209
backsp_dur,pause_rate,0.32366737843730575
backsp_dur,pause_dur,0.32366737840660986
AU45_BlinkInt,AU14_Dimpler,0.31306278866444776
AUc28_LipSuck,AU26_JawDrop,0.30653506989078116
Lclick,Rclick,0.3050284641715856
AU17_ChinRaiser,AU9_NoseWringler,0.3032320724872068
AU2_OuterBrowRaiser,AU26_JawDrop,0.2978649367241938
AU17_ChinRaiser,press_dur,0.29307397479502373
AU6_CheekRaiser,AU20_LipStretcher,0.28432726150478516
AU26_JawDrop,AU6_CheekRaiser,0.2812922811893171
AU26_JawDrop,AU23_LipTightener,0.27989114938509035
press_dur,AU15_LipCornerDepressonr,0.27909297725796023
AU15_LipCornerDepressonr,AU9_NoseWringler,0.27865020656190875
keyPress,gazeDown,0.2749331149858008
AU17_ChinRaiser,AU23_LipTightener,0.27308776591222234
AU20_LipStretcher,press_dur,0.27051850349929374
gazeRight,AU20_LipStretcher,0.2696750942056566
AU25_LipsPart,press_dur,0.26824465215992077
AU2_OuterBrowRaiser,AU25_LipsPart,0.2676259817236835
AU6_CheekRaiser,AUc28_LipSuck,0.267060654900027
AUc45_BlinkRate,AU26_JawDrop,0.2625388968333414
gazeRight,AU26_JawDrop,0.26090813070159624
AU20_LipStretcher,AUc28_LipSuck,0.254386563140627
AU9_NoseWringler,AU20_LipStretcher,0.253433430200239
AU26_JawDrop,press_dur,0.2498440033179476
AU9_NoseWringler,AU2_OuterBrowRaiser,0.24342065749337435
AUc45_BlinkRate,AU15_LipCornerDepressonr,0.23930442378524697
AU26_JawDrop,AU9_NoseWringler,0.23722936004517262
AU25_LipsPart,AU6_CheekRaiser,0.23571398488181805
AU9_NoseWringler,gazeRight,0.23291284219304334
AU25_LipsPart,AU9_NoseWringler,0.23282397835576632
AU26_JawDrop,AU5_UpperLipRaiser,0.2267471576859544
gazeRight,gazeUp,0.22662853749302728
AU20_LipStretcher,AU23_LipTightener,0.22247864618971522
AU23_LipTightener,AU6_CheekRaiser,0.22177372967853246
AU15_LipCornerDepressonr,AU23_LipTightener,0.21897622771159578
AUc45_BlinkRate,AU10_UpperLipRaiser,0.21837741296279614
AU20_LipStretcher,AUc45_BlinkRate,0.21604080981283055
gazeUp,gazeCenter,0.2139367157570888
AU1_InnerBrowRaiser,AU9_NoseWringler,0.21283205223440735
AU23_LipTightener,AUc28_LipSuck,0.21190010948267365
AU1_InnerBrowRaiser,AU17_ChinRaiser,0.20759568280733678
AU25_LipsPart,AUc45_BlinkRate,0.20701493373146573
AU5_UpperLipRaiser,AU6_CheekRaiser,0.20248662433408843
AU45_BlinkInt,AU10_UpperLipRaiser,0.20247845966598435
Lclick,AU25_LipsPart,0.20016175326667562
AU45_BlinkInt,gazeDown,0.19927356798897927
AU45_BlinkInt,AU4_BrowLowerer,0.19810593891381922
AU6_CheekRaiser,AU9_NoseWringler,0.19444537582990398
AU2_OuterBrowRaiser,AU6_CheekRaiser,0.19411650743982423
Rclick,pause_dur,0.19323122645279578
Rclick,pause_rate,0.19323122644690433
AU7_LidTightener,move_duration,0.19072015876249868
Lclick,AU17_ChinRaiser,0.1866027601827778
pause_rate,AUc28_LipSuck,0.18430787573183868
pause_dur,AUc28_LipSuck,0.1843078757306168
AU14_Dimpler,gazeRight,0.18031017227387264
AU17_ChinRaiser,AU10_UpperLipRaiser,0.18023796506086845
AU15_LipCornerDepressonr,gazeCenter,0.17992997490553084
AU17_ChinRaiser,gazeCenter,0.17884475849285153
AU12_LipCornerPuller,AUc45_BlinkRate,0.17877943043841246
press_dur,gazeCenter,0.17873040482089173
Lclick,AU20_LipStretcher,0.17799797943836912
pause_rate,duration,0.17668729617579107
pause_dur,duration,0.17668729615714032
AUc28_LipSuck,press_dur,0.17611490641125044
AU10_UpperLipRaiser,gazeRight,0.17422813688659328
AU7_LidTightener,AUc45_BlinkRate,0.17376825112134395
gazeCenter,Lclick,0.17251469426819574
gazeDown,AU1_InnerBrowRaiser,0.17116354269592454
gazeRight,press_dur,0.17100621584866973
AU17_ChinRaiser,AUc45_BlinkRate,0.16780498594992876
pause_rate,Lclick,0.16721551010185176
Lclick,pause_dur,0.1672155101008693
AU12_LipCornerPuller,AU45_BlinkInt,0.16670564641597357
AU6_CheekRaiser,AU1_InnerBrowRaiser,0.16519687795540677
AU23_LipTightener,AU5_UpperLipRaiser,0.16427338187844756
AU2_OuterBrowRaiser,AU12_LipCornerPuller,0.16219958044480196
AU14_Dimpler,AU6_CheekRaiser,0.16145885513927064
Lclick,AU15_LipCornerDepressonr,0.16106102920344725
AU17_ChinRaiser,backsp_dur,0.15820089252904454
AU45_BlinkInt,backsp,0.15815956957471616
Lclick,backsp_dur,0.15776525081715312
press_dur,duration,0.1572725473072275
pause_rate,AU15_LipCornerDepressonr,0.1556120102495953
pause_dur,AU15_LipCornerDepressonr,0.15561201023613572
AU1_InnerBrowRaiser,gazeRight,0.15541186930810832
AU17_ChinRaiser,AUc28_LipSuck,0.1550381992870567
AU20_LipStretcher,AU1_InnerBrowRaiser,0.15420162556989322
AU6_CheekRaiser,AU10_UpperLipRaiser,0.1505284294895976
AU6_CheekRaiser,AU17_ChinRaiser,0.14888159794149225
pause_rate,AU25_LipsPart,0.14751896228898986
AU25_LipsPart,pause_dur,0.14751896228213257
AU9_NoseWringler,AU12_LipCornerPuller,0.14734224288187522
AU7_LidTightener,AU4_BrowLowerer,0.1466955885453939
AU20_LipStretcher,pause_dur,0.1459046228547822
AU20_LipStretcher,pause_rate,0.14590462285476313
AU20_LipStretcher,AU5_UpperLipRaiser,0.14555231853040201
Lclick,AU10_UpperLipRaiser,0.14469680444456348
AU2_OuterBrowRaiser,gazeDown,0.1437166566784667
gazeRight,Lclick,0.14362102882881356
AU14_Dimpler,AU2_OuterBrowRaiser,0.14302815225717727
gazeCenter,gazeRight,0.14295469158403007
AU20_LipStretcher,backsp_dur,0.14212936366365578
AU10_UpperLipRaiser,press_dur,0.14091612384485097
AU15_LipCornerDepressonr,AUc28_LipSuck,0.13977983754463916
AU1_InnerBrowRaiser,AU12_LipCornerPuller,0.13912540906350898
AU2_OuterBrowRaiser,gazeRight,0.136028130859796
gazeDown,gazeLeft,0.13380527314513485
AU1_InnerBrowRaiser,AU14_Dimpler,0.13262690847474864
AU1_InnerBrowRaiser,AU4_BrowLowerer,0.13196805164937717
AU9_NoseWringler,AUc28_LipSuck,0.12856236338833388
pause_rate,AU23_LipTightener,0.12851025460942642
AU23_LipTightener,pause_dur,0.1285102546048937
AU15_LipCornerDepressonr,backsp_dur,0.1279502604192295
AU7_LidTightener,AU12_LipCornerPuller,0.12712440247887627
AUc45_BlinkRate,AU14_Dimpler,0.12611361533149681
Rclick,press_dur,0.12543655341798074
press_dur,AU6_CheekRaiser,0.12497508101723023
press_dur,AU9_NoseWringler,0.12488225302140857
AU1_InnerBrowRaiser,AU15_LipCornerDepressonr,0.12328462620677468
AUc45_BlinkRate,move_speed,0.12137266504595629
AU2_OuterBrowRaiser,AU4_BrowLowerer,0.12074723798658196
AU23_LipTightener,AU2_OuterBrowRaiser,0.12030946961211696
AU17_ChinRaiser,AU2_OuterBrowRaiser,0.12004845026642874
AUc45_BlinkRate,move_dist,0.11936045711794553
AU26_JawDrop,AU12_LipCornerPuller,0.11900044776839512
move_speed,AU15_LipCornerDepressonr,0.11756203533413745
pause_dur,AU9_NoseWringler,0.11748639062354915
pause_rate,AU9_NoseWringler,0.11748639062166012
AU12_LipCornerPuller,AU23_LipTightener,0.11742455652308682
AU10_UpperLipRaiser,AU2_OuterBrowRaiser,0.11690290961432885
AU5_UpperLipRaiser,move_speed,0.11622498761240647
pause_rate,AU17_ChinRaiser,0.11613255778780904
AU17_ChinRaiser,pause_dur,0.11613255778210559
AU4_BrowLowerer,gazeCenter,0.11604841110180843
backsp_dur,AU25_LipsPart,0.11534056875762987
AU20_LipStretcher,AU7_LidTightener,0.1138611549724898
backsp_dur,AU26_JawDrop,0.11344844747659744
AU4_BrowLowerer,AUc28_LipSuck,0.1133254331009794
AU20_LipStretcher,AU10_UpperLipRaiser,0.11288115688987742
AU7_LidTightener,gazeLeft,0.11253967473669947
backsp_dur,AUc28_LipSuck,0.11130052305601033
AU26_JawDrop,move_speed,0.10979232152753249
duration,AU9_NoseWringler,0.10948938691385904
AU14_Dimpler,AU9_NoseWringler,0.1091792398676951
AU26_JawDrop,move_dist,0.10900212636402377
AU5_UpperLipRaiser,AU17_ChinRaiser,0.1064221914696749
AU25_LipsPart,move_speed,0.10491690201517058
AU5_UpperLipRaiser,gazeRight,0.10395612265888858
AU15_LipCornerDepressonr,AU6_CheekRaiser,0.1023918936755721
AU7_LidTightener,gazeDown,0.1020925172892638
AU15_LipCornerDepressonr,gazeUp,0.09992710249972574
duration,AU17_ChinRaiser,0.09988302451124409
pause_rate,AU26_JawDrop,0.09968630495670319
AU26_JawDrop,pause_dur,0.09968630494949682
duration,gazeRight,0.09884475363747029
Lclick,AU26_JawDrop,0.09864629560590617
AUc45_BlinkRate,AU6_CheekRaiser,0.0981381250062825
AU5_UpperLipRaiser,gazeDown,0.09769282500954703
AUc45_BlinkRate,gazeRight,0.09623460073676708
AU20_LipStretcher,Rclick,0.09616206540330902
AU23_LipTightener,press_dur,0.09600272297491166
backsp_dur,Rclick,0.09571743399043268
gazeLeft,move_dist,0.09509004492025618
gazeLeft,move_speed,0.09483784337490336
Lclick,AU9_NoseWringler,0.09317453540477914
AU25_LipsPart,move_dist,0.0926366720698459
AU15_LipCornerDepressonr,move_dist,0.09220202724777796
AU23_LipTightener,duration,0.09187834025153176
gazeRight,AU23_LipTightener,0.09186326025459418
AU5_UpperLipRaiser,AU9_NoseWringler,0.09011731327147521
AU20_LipStretcher,AU2_OuterBrowRaiser,0.08837761930561475
AU9_NoseWringler,gazeDown,0.08779162233775065
AU15_LipCornerDepressonr,AU5_UpperLipRaiser,0.0866994953995311
AUc45_BlinkRate,press_dur,0.08608035286935779
headOrient_z,gazeCenter,0.08598732094587626
AU1_InnerBrowRaiser,move_speed,0.08459688932575671
gazeDown,Rclick,0.08372911235659693
AU6_CheekRaiser,pause_rate,0.08142345747655347
AU6_CheekRaiser,pause_dur,0.08142345747012034
AUc28_LipSuck,gazeDown,0.0814065188295023
AU2_OuterBrowRaiser,AU15_LipCornerDepressonr,0.08125889092553347
duration,AU15_LipCornerDepressonr,0.08124368960026992
AU20_LipStretcher,duration,0.0812385664500587
AU17_ChinRaiser,move_speed,0.0801797703475099
Lclick,AU4_BrowLowerer,0.07957181005579553
move_dist,AU1_InnerBrowRaiser,0.07955391641999665
AU10_UpperLipRaiser,AU25_LipsPart,0.078958193608087
gazeCenter,pause_rate,0.07869484803309383
gazeCenter,pause_dur,0.07869484802602837
AU6_CheekRaiser,duration,0.07859467409460627
AU23_LipTightener,AU1_InnerBrowRaiser,0.0779138853709614
AU5_UpperLipRaiser,move_dist,0.07690231054862003
AU45_BlinkInt,AU2_OuterBrowRaiser,0.07633783382546572
AU4_BrowLowerer,scroll_dur,0.0762199892243118
gazeLeft,AU9_NoseWringler,0.07541057904457982
AUc45_BlinkRate,AU4_BrowLowerer,0.07521791971245892
AU17_ChinRaiser,AU12_LipCornerPuller,0.07475407656865393
gazeRight,backsp_dur,0.07414700554130621
backsp,move_duration,0.07389077488717154
AU9_NoseWringler,AU10_UpperLipRaiser,0.07345464692100467
Lclick,move_dist,0.07248994914770952
backsp_dur,AU23_LipTightener,0.07206568857002343
duration,AU25_LipsPart,0.07165366798296421
AU20_LipStretcher,AU12_LipCornerPuller,0.07124084446009543
scroll_dur,duration,0.07122663798890526
AU7_LidTightener,AU26_JawDrop,0.06874147778196692
AU25_LipsPart,gazeUp,0.06776867858229847
Rclick,AU17_ChinRaiser,0.06766836390704538
gazeDown,move_dist,0.06702209678019652
AU17_ChinRaiser,move_dist,0.06669996421765084
AU4_BrowLowerer,AU5_UpperLipRaiser,0.0664886608958481
AU1_InnerBrowRaiser,AU10_UpperLipRaiser,0.06606063937231552
AU10_UpperLipRaiser,AU26_JawDrop,0.06518075418149581
AU45_BlinkInt,AU1_InnerBrowRaiser,0.06477712841622985
duration,AU26_JawDrop,0.06476146649555306
headOrient_x,gazeDown,0.06390209340143732
duration,AU12_LipCornerPuller,0.06353211579817468
move_speed,AU20_LipStretcher,0.06347078728760938
gazeDown,headOrient_y,0.06327335606387999
AU10_UpperLipRaiser,AU15_LipCornerDepressonr,0.06298786854211016
move_dist,AU20_LipStretcher,0.06265015895044487
AU17_ChinRaiser,scroll_dur,0.058163809123441296
AU20_LipStretcher,gazeCenter,0.05802427022969949
AUc45_BlinkRate,move_duration,0.0580097203389166
AU25_LipsPart,AU23_LipTightener,0.05771383442462436
headOrient_z,backsp,0.05692748028611195
scroll_dur,move_duration,0.05692497639220684
keyPress,move_dist,0.056389249154735005
AU7_LidTightener,scroll_dur,0.05619453858380706
AU10_UpperLipRaiser,duration,0.05580932487548215
Lclick,AU1_InnerBrowRaiser,0.055648386749318046
press_dur,AU1_InnerBrowRaiser,0.05479113233464049
pause_dur,gazeLeft,0.05374460080121008
pause_rate,gazeLeft,0.05374460079918111
move_duration,AU4_BrowLowerer,0.05298471493202522
move_speed,backsp,0.05106078106584453
AU6_CheekRaiser,backsp_dur,0.0504940738377365
headOrient_y,AUc45_BlinkRate,0.0503961827317194
AU26_JawDrop,gazeDown,0.05038775505538279
headOrient_x,AUc45_BlinkRate,0.05035819818974783
AUc28_LipSuck,move_speed,0.04981591616432232
AU45_BlinkInt,scroll_dur,0.04911327731030857
AU26_JawDrop,headOrient_y,0.04667008983463552
AU26_JawDrop,headOrient_x,0.04645679667725606
AUc45_BlinkRate,backsp_dur,0.04624041845105146
move_speed,Lclick,0.04597989637617379
AU12_LipCornerPuller,AU4_BrowLowerer,0.04595948218190689
Rclick,AUc28_LipSuck,0.04593987493709657
gazeDown,move_duration,0.04416350757633273
AU12_LipCornerPuller,press_dur,0.044132076739580334
gazeLeft,AUc45_BlinkRate,0.04314172802165169
AU6_CheekRaiser,Rclick,0.04302531074016399
AU4_BrowLowerer,gazeRight,0.0427934670387739
AU12_LipCornerPuller,AU5_UpperLipRaiser,0.042743886004617815
gazeUp,AU1_InnerBrowRaiser,0.04268629467752637
scroll_dur,AU9_NoseWringler,0.04226389314826407
headOrient_y,move_speed,0.04176708571965142
headOrient_x,move_speed,0.04170542198838157
AU14_Dimpler,duration,0.041418729289203045
headOrient_y,move_dist,0.04128055215676161
headOrient_x,move_dist,0.041267391227446854
AU17_ChinRaiser,gazeUp,0.04112177561562366
AUc45_BlinkRate,AU9_NoseWringler,0.040730383876958515
AU25_LipsPart,headOrient_y,0.04055894825927092
AU23_LipTightener,gazeLeft,0.04013595553342547
headOrient_x,AU25_LipsPart,0.04008480255960529
headOrient_x,AU45_BlinkInt,0.03920480120513625
headOrient_y,AU45_BlinkInt,0.03900632320962087
headOrient_y,AU17_ChinRaiser,0.0388932182117999
AUc28_LipSuck,move_dist,0.03884285798853893
AU25_LipsPart,gazeCenter,0.03830159586105965
AU17_ChinRaiser,headOrient_x,0.03812378623949348
gazeUp,AUc45_BlinkRate,0.03766010201837621
scroll_dur,AU23_LipTightener,0.03716954624163228
AU15_LipCornerDepressonr,AU7_LidTightener,0.037023112500985875
headOrient_x,AU14_Dimpler,0.03682299638051978
AU14_Dimpler,headOrient_y,0.036695549342570244
backsp_dur,gazeLeft,0.03657796985766659
scroll_dur,gazeDown,0.03654449168217359
keyPress,AU7_LidTightener,0.036539809883802586
gazeRight,AU45_BlinkInt,0.03619772851515156
AU9_NoseWringler,backsp_dur,0.035768506418179274
AU25_LipsPart,scroll_dur,0.035383897633069934
scroll_dur,AU2_OuterBrowRaiser,0.034644882062608406
AU25_LipsPart,Rclick,0.03428530987137335
duration,AU1_InnerBrowRaiser,0.034068982087954974
AU25_LipsPart,AU4_BrowLowerer,0.033809298530549384
AUc45_BlinkRate,gazeDown,0.03369291244143648
pause_rate,gazeRight,0.033475672425863835
gazeRight,pause_dur,0.033475672415363034
headOrient_y,gazeRight,0.033167793105160936
AU12_LipCornerPuller,move_speed,0.033125123024927955
gazeUp,AU20_LipStretcher,0.03270825347641823
gazeRight,headOrient_x,0.032601960433551604
gazeLeft,AUc28_LipSuck,0.032425834735188216
backsp,scroll_dur,0.031775083171405316
gazeUp,Lclick,0.03166069080228561
gazeRight,scroll_dur,0.0311420540094373
headOrient_x,AU1_InnerBrowRaiser,0.0308839697732074
AU1_InnerBrowRaiser,headOrient_y,0.030883805335050453
move_speed,gazeDown,0.030500454228380956
AU2_OuterBrowRaiser,move_speed,0.030218414755345487
AU23_LipTightener,gazeDown,0.0300870135941856
Rclick,AU15_LipCornerDepressonr,0.02945004966184472
AU45_BlinkInt,move_duration,0.02926654297744794
move_duration,gazeLeft,0.029263693533684545
AU12_LipCornerPuller,AU15_LipCornerDepressonr,0.029252274787274803
headOrient_x,AU4_BrowLowerer,0.028952125479941335
headOrient_y,AU4_BrowLowerer,0.028889773278115916
gazeUp,AU23_LipTightener,0.02833803176888658
headOrient_y,AU23_LipTightener,0.028334951502950047
AU23_LipTightener,headOrient_x,0.028182444228327982
headOrient_y,AU20_LipStretcher,0.027879401034067875
scroll_dur,AU10_UpperLipRaiser,0.02765662491579746
headOrient_y,Lclick,0.027505517663350593
headOrient_x,AU20_LipStretcher,0.027438848893581464
headOrient_x,Lclick,0.027335479064001935
AU7_LidTightener,move_dist,0.026625365365581723
duration,AUc45_BlinkRate,0.026479225681064776
press_dur,headOrient_y,0.025623803987399964
headOrient_x,press_dur,0.025239959054275556
gazeUp,pause_rate,0.02483304497139828
pause_dur,gazeUp,0.024833044968078387
AU26_JawDrop,Rclick,0.0247555887927472
AU10_UpperLipRaiser,pause_dur,0.024659003891210122
pause_rate,AU10_UpperLipRaiser,0.024659003890719573
AU14_Dimpler,keyPress,0.024531274990709947
AU9_NoseWringler,headOrient_y,0.02449467777937305
move_speed,AU23_LipTightener,0.024350786195781494
headOrient_x,AU9_NoseWringler,0.024333504074349383
AU12_LipCornerPuller,scroll_dur,0.023765161305201038
headOrient_x,AU2_OuterBrowRaiser,0.02370007505585934
AU2_OuterBrowRaiser,headOrient_y,0.023687814500245593
AU15_LipCornerDepressonr,headOrient_y,0.02368222601689882
AU5_UpperLipRaiser,headOrient_y,0.02362615124682023
AU5_UpperLipRaiser,headOrient_x,0.0236012012944683
AU12_LipCornerPuller,headOrient_x,0.023297343574191453
AU12_LipCornerPuller,headOrient_y,0.023253458928742213
AUc28_LipSuck,gazeUp,0.02292731184113115
AU15_LipCornerDepressonr,headOrient_x,0.022903259181810867
headOrient_y,AU10_UpperLipRaiser,0.02277181559659468
AU10_UpperLipRaiser,headOrient_x,0.02257256374377089
AU14_Dimpler,AU26_JawDrop,0.0224209980391927
AU1_InnerBrowRaiser,AUc45_BlinkRate,0.02227994423319294
AU5_UpperLipRaiser,pause_rate,0.02204945675583141
pause_dur,AU5_UpperLipRaiser,0.02204945675409745
AU14_Dimpler,AU23_LipTightener,0.02192280610434214
gazeUp,press_dur,0.021803306600850832
backsp_dur,AU12_LipCornerPuller,0.02176173521160945
AU25_LipsPart,AU12_LipCornerPuller,0.021703652828573766
AU9_NoseWringler,Rclick,0.021085322184820395
AU2_OuterBrowRaiser,move_dist,0.020407866333028234
AU7_LidTightener,headOrient_y,0.020312970356832213
AU7_LidTightener,headOrient_x,0.020311287949207595
AU12_LipCornerPuller,AUc28_LipSuck,0.019962934544315913
backsp_dur,scroll_dur,0.019536115585618182
move_speed,gazeUp,0.019092797436604754
AU9_NoseWringler,gazeUp,0.018691684420161236
headOrient_x,gazeLeft,0.01851213344001857
gazeLeft,AU45_BlinkInt,0.01850696876123644
gazeLeft,headOrient_y,0.018437203959314034
AU5_UpperLipRaiser,press_dur,0.01825082938890032
AU10_UpperLipRaiser,AU23_LipTightener,0.017885790473373506
gazeCenter,AU12_LipCornerPuller,0.017302512150167218
AU14_Dimpler,scroll_dur,0.017129181097038888
scroll_dur,AUc28_LipSuck,0.016419039316108854
scroll_dur,headOrient_y,0.015584811871258137
headOrient_x,scroll_dur,0.015534823875088736
headOrient_y,AU6_CheekRaiser,0.015076892745825122
AU6_CheekRaiser,headOrient_x,0.015043260351378731
AU14_Dimpler,Lclick,0.013997912596303525
scroll_dur,AU6_CheekRaiser,0.013557277631402397
AU14_Dimpler,gazeCenter,0.01342934439757747
AU25_LipsPart,AU7_LidTightener,0.013370682449001798
move_dist,AU23_LipTightener,0.013012047697014301
AUc28_LipSuck,Lclick,0.012874406620774824
AU5_UpperLipRaiser,Lclick,0.012802907922571426
AU2_OuterBrowRaiser,keyPress,0.012291200166287881
pause_rate,move_speed,0.01208812937836207
pause_dur,move_speed,0.012088129378258613
Rclick,headOrient_x,0.011500302340719045
Rclick,headOrient_y,0.011448523132195678
backsp_dur,headOrient_y,0.011119105089589318
backsp_dur,headOrient_x,0.010925199410668142
AUc28_LipSuck,headOrient_y,0.010770643736222678
headOrient_x,AUc28_LipSuck,0.010753938375745615
AU10_UpperLipRaiser,AU5_UpperLipRaiser,0.010626928566661557
gazeCenter,backsp_dur,0.0100297529407134
AU14_Dimpler,AU17_ChinRaiser,0.009911995258822687
move_dist,gazeUp,0.009689337472063199
gazeLeft,press_dur,0.008783503487410915
pause_dur,headOrient_y,0.008191179850286157
pause_rate,headOrient_y,0.008191179849891556
headOrient_x,pause_dur,0.008018629854747397
