RR,time
590,2023-04-13 13-40-23.292000
581,2023-04-13 13-40-23.873000
575,2023-04-13 13-40-24.448000
582,2023-04-13 13-40-25.030000
597,2023-04-13 13-40-25.627000
602,2023-04-13 13-40-26.229000
602,2023-04-13 13-40-26.831000
608,2023-04-13 13-40-27.439000
604,2023-04-13 13-40-28.043000
594,2023-04-13 13-40-28.637000
586,2023-04-13 13-40-29.223000
578,2023-04-13 13-40-29.801000
574,2023-04-13 13-40-30.375000
571,2023-04-13 13-40-30.946000
572,2023-04-13 13-40-31.518000
581,2023-04-13 13-40-32.099000
583,2023-04-13 13-40-32.682000
593,2023-04-13 13-40-33.275000
620,2023-04-13 13-40-33.895000
640,2023-04-13 13-40-34.535000
646,2023-04-13 13-40-35.181000
633,2023-04-13 13-40-35.814000
636,2023-04-13 13-40-36.450000
624,2023-04-13 13-40-37.074000
608,2023-04-13 13-40-37.682000
592,2023-04-13 13-40-38.274000
584,2023-04-13 13-40-38.858000
572,2023-04-13 13-40-39.430000
563,2023-04-13 13-40-39.993000
556,2023-04-13 13-40-40.549000
554,2023-04-13 13-40-41.103000
553,2023-04-13 13-40-41.656000
558,2023-04-13 13-40-42.214000
566,2023-04-13 13-40-42.780000
595,2023-04-13 13-40-43.375000
679,2023-04-13 13-40-44.054000
773,2023-04-13 13-40-44.827000
748,2023-04-13 13-40-45.575000
726,2023-04-13 13-40-46.301000
684,2023-04-13 13-40-46.985000
656,2023-04-13 13-40-47.641000
607,2023-04-13 13-40-48.248000
585,2023-04-13 13-40-48.833000
579,2023-04-13 13-40-49.412000
558,2023-04-13 13-40-49.970000
551,2023-04-13 13-40-50.521000
548,2023-04-13 13-40-51.069000
555,2023-04-13 13-40-51.624000
569,2023-04-13 13-40-52.193000
604,2023-04-13 13-40-52.797000
652,2023-04-13 13-40-53.449000
678,2023-04-13 13-40-54.127000
685,2023-04-13 13-40-54.812000
673,2023-04-13 13-40-55.485000
655,2023-04-13 13-40-56.140000
628,2023-04-13 13-40-56.768000
610,2023-04-13 13-40-57.378000
595,2023-04-13 13-40-57.973000
581,2023-04-13 13-40-58.554000
564,2023-04-13 13-40-59.118000
555,2023-04-13 13-40-59.673000
544,2023-04-13 13-41-00.217000
539,2023-04-13 13-41-00.756000
541,2023-04-13 13-41-01.297000
549,2023-04-13 13-41-01.846000
578,2023-04-13 13-41-02.424000
785,2023-04-13 13-41-03.209000
811,2023-04-13 13-41-04.020000
760,2023-04-13 13-41-04.780000
812,2023-04-13 13-41-05.592000
710,2023-04-13 13-41-06.302000
672,2023-04-13 13-41-06.974000
633,2023-04-13 13-41-07.607000
591,2023-04-13 13-41-08.198000
573,2023-04-13 13-41-08.771000
557,2023-04-13 13-41-09.328000
543,2023-04-13 13-41-09.871000
535,2023-04-13 13-41-10.406000
533,2023-04-13 13-41-10.939000
534,2023-04-13 13-41-11.473000
534,2023-04-13 13-41-12.007000
542,2023-04-13 13-41-12.549000
545,2023-04-13 13-41-13.094000
551,2023-04-13 13-41-13.645000
557,2023-04-13 13-41-14.202000
558,2023-04-13 13-41-14.760000
564,2023-04-13 13-41-15.324000
567,2023-04-13 13-41-15.891000
576,2023-04-13 13-41-16.467000
573,2023-04-13 13-41-17.040000
566,2023-04-13 13-41-17.606000
570,2023-04-13 13-41-18.176000
593,2023-04-13 13-41-18.769000
617,2023-04-13 13-41-19.386000
671,2023-04-13 13-41-20.057000
638,2023-04-13 13-41-20.695000
642,2023-04-13 13-41-21.337000
644,2023-04-13 13-41-21.981000
671,2023-04-13 13-41-22.652000
671,2023-04-13 13-41-23.323000
638,2023-04-13 13-41-23.961000
627,2023-04-13 13-41-24.588000
602,2023-04-13 13-41-25.190000
581,2023-04-13 13-41-25.771000
568,2023-04-13 13-41-26.339000
568,2023-04-13 13-41-26.907000
586,2023-04-13 13-41-27.493000
662,2023-04-13 13-41-28.155000
716,2023-04-13 13-41-28.871000
758,2023-04-13 13-41-29.629000
864,2023-04-13 13-41-30.493000
866,2023-04-13 13-41-31.359000
824,2023-04-13 13-41-32.183000
775,2023-04-13 13-41-32.958000
724,2023-04-13 13-41-33.682000
692,2023-04-13 13-41-34.374000
666,2023-04-13 13-41-35.040000
651,2023-04-13 13-41-35.691000
651,2023-04-13 13-41-36.342000
659,2023-04-13 13-41-37.001000
669,2023-04-13 13-41-37.670000
658,2023-04-13 13-41-38.328000
645,2023-04-13 13-41-38.973000
651,2023-04-13 13-41-39.624000
651,2023-04-13 13-41-40.275000
653,2023-04-13 13-41-40.928000
644,2023-04-13 13-41-41.572000
631,2023-04-13 13-41-42.203000
611,2023-04-13 13-41-42.814000
603,2023-04-13 13-41-43.417000
599,2023-04-13 13-41-44.016000
608,2023-04-13 13-41-44.624000
622,2023-04-13 13-41-45.246000
636,2023-04-13 13-41-45.882000
635,2023-04-13 13-41-46.517000
626,2023-04-13 13-41-47.143000
617,2023-04-13 13-41-47.760000
607,2023-04-13 13-41-48.367000
603,2023-04-13 13-41-48.970000
599,2023-04-13 13-41-49.569000
597,2023-04-13 13-41-50.166000
595,2023-04-13 13-41-50.761000
594,2023-04-13 13-41-51.355000
597,2023-04-13 13-41-51.952000
602,2023-04-13 13-41-52.554000
612,2023-04-13 13-41-53.166000
618,2023-04-13 13-41-53.784000
619,2023-04-13 13-41-54.403000
611,2023-04-13 13-41-55.014000
604,2023-04-13 13-41-55.618000
605,2023-04-13 13-41-56.223000
