RR,time
672,2023-04-13 14-33-40.238000
656,2023-04-13 14-33-40.894000
636,2023-04-13 14-33-41.530000
621,2023-04-13 14-33-42.151000
606,2023-04-13 14-33-42.757000
607,2023-04-13 14-33-43.364000
614,2023-04-13 14-33-43.978000
629,2023-04-13 14-33-44.607000
652,2023-04-13 14-33-45.259000
704,2023-04-13 14-33-45.963000
786,2023-04-13 14-33-46.749000
756,2023-04-13 14-33-47.505000
742,2023-04-13 14-33-48.247000
727,2023-04-13 14-33-48.974000
684,2023-04-13 14-33-49.658000
690,2023-04-13 14-33-50.348000
712,2023-04-13 14-33-51.060000
756,2023-04-13 14-33-51.816000
791,2023-04-13 14-33-52.607000
791,2023-04-13 14-33-53.398000
790,2023-04-13 14-33-54.188000
789,2023-04-13 14-33-54.977000
780,2023-04-13 14-33-55.757000
738,2023-04-13 14-33-56.495000
711,2023-04-13 14-33-57.206000
676,2023-04-13 14-33-57.882000
657,2023-04-13 14-33-58.539000
648,2023-04-13 14-33-59.187000
639,2023-04-13 14-33-59.826000
637,2023-04-13 14-34-00.463000
644,2023-04-13 14-34-01.107000
684,2023-04-13 14-34-01.791000
688,2023-04-13 14-34-02.479000
728,2023-04-13 14-34-03.207000
728,2023-04-13 14-34-03.935000
727,2023-04-13 14-34-04.662000
691,2023-04-13 14-34-05.353000
658,2023-04-13 14-34-06.011000
646,2023-04-13 14-34-06.657000
639,2023-04-13 14-34-07.296000
645,2023-04-13 14-34-07.941000
639,2023-04-13 14-34-08.580000
632,2023-04-13 14-34-09.212000
620,2023-04-13 14-34-09.832000
620,2023-04-13 14-34-10.452000
629,2023-04-13 14-34-11.081000
641,2023-04-13 14-34-11.722000
672,2023-04-13 14-34-12.394000
747,2023-04-13 14-34-13.141000
769,2023-04-13 14-34-13.910000
774,2023-04-13 14-34-14.684000
758,2023-04-13 14-34-15.442000
719,2023-04-13 14-34-16.161000
734,2023-04-13 14-34-16.895000
744,2023-04-13 14-34-17.639000
757,2023-04-13 14-34-18.396000
722,2023-04-13 14-34-19.118000
699,2023-04-13 14-34-19.817000
696,2023-04-13 14-34-20.513000
690,2023-04-13 14-34-21.203000
704,2023-04-13 14-34-21.907000
729,2023-04-13 14-34-22.636000
733,2023-04-13 14-34-23.369000
739,2023-04-13 14-34-24.108000
755,2023-04-13 14-34-24.863000
757,2023-04-13 14-34-25.620000
728,2023-04-13 14-34-26.348000
733,2023-04-13 14-34-27.081000
722,2023-04-13 14-34-27.803000
697,2023-04-13 14-34-28.500000
670,2023-04-13 14-34-29.170000
679,2023-04-13 14-34-29.849000
672,2023-04-13 14-34-30.521000
668,2023-04-13 14-34-31.189000
681,2023-04-13 14-34-31.870000
718,2023-04-13 14-34-32.588000
737,2023-04-13 14-34-33.325000
766,2023-04-13 14-34-34.091000
850,2023-04-13 14-34-34.941000
873,2023-04-13 14-34-35.814000
870,2023-04-13 14-34-36.684000
859,2023-04-13 14-34-37.543000
828,2023-04-13 14-34-38.371000
820,2023-04-13 14-34-39.191000
794,2023-04-13 14-34-39.985000
774,2023-04-13 14-34-40.759000
788,2023-04-13 14-34-41.547000
791,2023-04-13 14-34-42.338000
755,2023-04-13 14-34-43.093000
771,2023-04-13 14-34-43.864000
791,2023-04-13 14-34-44.655000
818,2023-04-13 14-34-45.473000
796,2023-04-13 14-34-46.269000
739,2023-04-13 14-34-47.008000
715,2023-04-13 14-34-47.723000
717,2023-04-13 14-34-48.440000
706,2023-04-13 14-34-49.146000
703,2023-04-13 14-34-49.849000
685,2023-04-13 14-34-50.534000
669,2023-04-13 14-34-51.203000
648,2023-04-13 14-34-51.851000
639,2023-04-13 14-34-52.490000
626,2023-04-13 14-34-53.116000
617,2023-04-13 14-34-53.733000
611,2023-04-13 14-34-54.344000
621,2023-04-13 14-34-54.965000
641,2023-04-13 14-34-55.606000
695,2023-04-13 14-34-56.301000
772,2023-04-13 14-34-57.073000
862,2023-04-13 14-34-57.935000
875,2023-04-13 14-34-58.810000
902,2023-04-13 14-34-59.712000
878,2023-04-13 14-35-00.590000
866,2023-04-13 14-35-01.456000
830,2023-04-13 14-35-02.286000
783,2023-04-13 14-35-03.069000
776,2023-04-13 14-35-03.845000
761,2023-04-13 14-35-04.606000
754,2023-04-13 14-35-05.360000
752,2023-04-13 14-35-06.112000
741,2023-04-13 14-35-06.853000
766,2023-04-13 14-35-07.619000
811,2023-04-13 14-35-08.430000
839,2023-04-13 14-35-09.269000
860,2023-04-13 14-35-10.129000
813,2023-04-13 14-35-10.942000
804,2023-04-13 14-35-11.746000
801,2023-04-13 14-35-12.547000
777,2023-04-13 14-35-13.324000
731,2023-04-13 14-35-14.055000
709,2023-04-13 14-35-14.764000
731,2023-04-13 14-35-15.495000
754,2023-04-13 14-35-16.249000
816,2023-04-13 14-35-17.065000
883,2023-04-13 14-35-17.948000
932,2023-04-13 14-35-18.880000
856,2023-04-13 14-35-19.736000
831,2023-04-13 14-35-20.567000
821,2023-04-13 14-35-21.388000
794,2023-04-13 14-35-22.182000
799,2023-04-13 14-35-22.981000
818,2023-04-13 14-35-23.799000
864,2023-04-13 14-35-24.663000
881,2023-04-13 14-35-25.544000
874,2023-04-13 14-35-26.418000
888,2023-04-13 14-35-27.306000
865,2023-04-13 14-35-28.171000
843,2023-04-13 14-35-29.014000
869,2023-04-13 14-35-29.883000
875,2023-04-13 14-35-30.758000
874,2023-04-13 14-35-31.632000
877,2023-04-13 14-35-32.509000
880,2023-04-13 14-35-33.389000
892,2023-04-13 14-35-34.281000
837,2023-04-13 14-35-35.118000
767,2023-04-13 14-35-35.885000
740,2023-04-13 14-35-36.625000
721,2023-04-13 14-35-37.346000
709,2023-04-13 14-35-38.055000
714,2023-04-13 14-35-38.769000
736,2023-04-13 14-35-39.505000
817,2023-04-13 14-35-40.322000
850,2023-04-13 14-35-41.172000
880,2023-04-13 14-35-42.052000
896,2023-04-13 14-35-42.948000
877,2023-04-13 14-35-43.825000
829,2023-04-13 14-35-44.654000
814,2023-04-13 14-35-45.468000
788,2023-04-13 14-35-46.256000
764,2023-04-13 14-35-47.020000
733,2023-04-13 14-35-47.753000
735,2023-04-13 14-35-48.488000
729,2023-04-13 14-35-49.217000
731,2023-04-13 14-35-49.948000
726,2023-04-13 14-35-50.674000
768,2023-04-13 14-35-51.442000
806,2023-04-13 14-35-52.248000
838,2023-04-13 14-35-53.086000
835,2023-04-13 14-35-53.921000
880,2023-04-13 14-35-54.801000
907,2023-04-13 14-35-55.708000
876,2023-04-13 14-35-56.584000
824,2023-04-13 14-35-57.408000
818,2023-04-13 14-35-58.226000
771,2023-04-13 14-35-58.997000
737,2023-04-13 14-35-59.734000
708,2023-04-13 14-36-00.442000
685,2023-04-13 14-36-01.127000
685,2023-04-13 14-36-01.812000
702,2023-04-13 14-36-02.514000
740,2023-04-13 14-36-03.254000
689,2023-04-13 14-36-03.943000
692,2023-04-13 14-36-04.635000
676,2023-04-13 14-36-05.311000
660,2023-04-13 14-36-05.971000
648,2023-04-13 14-36-06.619000
645,2023-04-13 14-36-07.264000
634,2023-04-13 14-36-07.898000
618,2023-04-13 14-36-08.516000
609,2023-04-13 14-36-09.125000
603,2023-04-13 14-36-09.728000
603,2023-04-13 14-36-10.331000
613,2023-04-13 14-36-10.944000
608,2023-04-13 14-36-11.552000
625,2023-04-13 14-36-12.177000
656,2023-04-13 14-36-12.833000
672,2023-04-13 14-36-13.505000
677,2023-04-13 14-36-14.182000
674,2023-04-13 14-36-14.856000
678,2023-04-13 14-36-15.534000
672,2023-04-13 14-36-16.206000
680,2023-04-13 14-36-16.886000
693,2023-04-13 14-36-17.579000
751,2023-04-13 14-36-18.330000
713,2023-04-13 14-36-19.043000
711,2023-04-13 14-36-19.754000
708,2023-04-13 14-36-20.462000
742,2023-04-13 14-36-21.204000
747,2023-04-13 14-36-21.951000
752,2023-04-13 14-36-22.703000
741,2023-04-13 14-36-23.444000
745,2023-04-13 14-36-24.189000
781,2023-04-13 14-36-24.970000
785,2023-04-13 14-36-25.755000
776,2023-04-13 14-36-26.531000
765,2023-04-13 14-36-27.296000
763,2023-04-13 14-36-28.059000
763,2023-04-13 14-36-28.822000
718,2023-04-13 14-36-29.540000
729,2023-04-13 14-36-30.269000
760,2023-04-13 14-36-31.029000
788,2023-04-13 14-36-31.817000
792,2023-04-13 14-36-32.609000
766,2023-04-13 14-36-33.375000
742,2023-04-13 14-36-34.117000
752,2023-04-13 14-36-34.869000
724,2023-04-13 14-36-35.593000
727,2023-04-13 14-36-36.320000
722,2023-04-13 14-36-37.042000
726,2023-04-13 14-36-37.768000
740,2023-04-13 14-36-38.508000
763,2023-04-13 14-36-39.271000
787,2023-04-13 14-36-40.058000
806,2023-04-13 14-36-40.864000
808,2023-04-13 14-36-41.672000
791,2023-04-13 14-36-42.463000
790,2023-04-13 14-36-43.253000
788,2023-04-13 14-36-44.041000
786,2023-04-13 14-36-44.827000
775,2023-04-13 14-36-45.602000
765,2023-04-13 14-36-46.367000
769,2023-04-13 14-36-47.136000
738,2023-04-13 14-36-47.874000
753,2023-04-13 14-36-48.627000
803,2023-04-13 14-36-49.430000
866,2023-04-13 14-36-50.296000
792,2023-04-13 14-36-51.088000
750,2023-04-13 14-36-51.838000
770,2023-04-13 14-36-52.608000
796,2023-04-13 14-36-53.404000
785,2023-04-13 14-36-54.189000
765,2023-04-13 14-36-54.954000
745,2023-04-13 14-36-55.699000
742,2023-04-13 14-36-56.441000
735,2023-04-13 14-36-57.176000
740,2023-04-13 14-36-57.916000
735,2023-04-13 14-36-58.651000
