RR,time
691,2023-04-11 13:20:32.691000
673,2023-04-11 13:20:33.364000
670,2023-04-11 13:20:34.034000
656,2023-04-11 13:20:34.690000
620,2023-04-11 13:20:35.310000
631,2023-04-11 13:20:35.941000
621,2023-04-11 13:20:36.562000
614,2023-04-11 13:20:37.176000
619,2023-04-11 13:20:37.795000
625,2023-04-11 13:20:38.420000
616,2023-04-11 13:20:39.036000
606,2023-04-11 13:20:39.642000
619,2023-04-11 13:20:40.261000
626,2023-04-11 13:20:40.887000
631,2023-04-11 13:20:41.518000
643,2023-04-11 13:20:42.161000
644,2023-04-11 13:20:42.805000
670,2023-04-11 13:20:43.475000
673,2023-04-11 13:20:44.148000
688,2023-04-11 13:20:44.836000
689,2023-04-11 13:20:45.525000
679,2023-04-11 13:20:46.204000
649,2023-04-11 13:20:46.853000
639,2023-04-11 13:20:47.492000
633,2023-04-11 13:20:48.125000
613,2023-04-11 13:20:48.738000
596,2023-04-11 13:20:49.334000
587,2023-04-11 13:20:49.921000
594,2023-04-11 13:20:50.515000
593,2023-04-11 13:20:51.108000
601,2023-04-11 13:20:51.709000
614,2023-04-11 13:20:52.323000
597,2023-04-11 13:20:52.920000
616,2023-04-11 13:20:53.536000
606,2023-04-11 13:20:54.142000
638,2023-04-11 13:20:54.780000
626,2023-04-11 13:20:55.406000
620,2023-04-11 13:20:56.026000
629,2023-04-11 13:20:56.655000
639,2023-04-11 13:20:57.294000
644,2023-04-11 13:20:57.938000
616,2023-04-11 13:20:58.554000
631,2023-04-11 13:20:59.185000
633,2023-04-11 13:20:59.818000
640,2023-04-11 13:21:00.458000
635,2023-04-11 13:21:01.093000
639,2023-04-11 13:21:01.732000
664,2023-04-11 13:21:02.396000
692,2023-04-11 13:21:03.088000
688,2023-04-11 13:21:03.776000
668,2023-04-11 13:21:04.444000
694,2023-04-11 13:21:05.138000
696,2023-04-11 13:21:05.834000
696,2023-04-11 13:21:06.530000
675,2023-04-11 13:21:07.205000
661,2023-04-11 13:21:07.866000
668,2023-04-11 13:21:08.534000
666,2023-04-11 13:21:09.200000
674,2023-04-11 13:21:09.874000
656,2023-04-11 13:21:10.530000
645,2023-04-11 13:21:11.175000
653,2023-04-11 13:21:11.828000
656,2023-04-11 13:21:12.484000
677,2023-04-11 13:21:13.161000
679,2023-04-11 13:21:13.840000
674,2023-04-11 13:21:14.514000
686,2023-04-11 13:21:15.200000
695,2023-04-11 13:21:15.895000
712,2023-04-11 13:21:16.607000
688,2023-04-11 13:21:17.295000
693,2023-04-11 13:21:17.988000
691,2023-04-11 13:21:18.679000
691,2023-04-11 13:21:19.370000
669,2023-04-11 13:21:20.039000
688,2023-04-11 13:21:20.727000
692,2023-04-11 13:21:21.419000
708,2023-04-11 13:21:22.127000
704,2023-04-11 13:21:22.831000
709,2023-04-11 13:21:23.540000
729,2023-04-11 13:21:24.269000
743,2023-04-11 13:21:25.012000
748,2023-04-11 13:21:25.760000
726,2023-04-11 13:21:26.486000
703,2023-04-11 13:21:27.189000
714,2023-04-11 13:21:27.903000
709,2023-04-11 13:21:28.612000
723,2023-04-11 13:21:29.335000
724,2023-04-11 13:21:30.059000
698,2023-04-11 13:21:30.757000
691,2023-04-11 13:21:31.448000
715,2023-04-11 13:21:32.163000
730,2023-04-11 13:21:32.893000
741,2023-04-11 13:21:33.634000
741,2023-04-11 13:21:34.375000
715,2023-04-11 13:21:35.090000
723,2023-04-11 13:21:35.813000
717,2023-04-11 13:21:36.530000
716,2023-04-11 13:21:37.246000
702,2023-04-11 13:21:37.948000
691,2023-04-11 13:21:38.639000
704,2023-04-11 13:21:39.343000
703,2023-04-11 13:21:40.046000
688,2023-04-11 13:21:40.734000
663,2023-04-11 13:21:41.397000
672,2023-04-11 13:21:42.069000
681,2023-04-11 13:21:42.750000
703,2023-04-11 13:21:43.453000
708,2023-04-11 13:21:44.161000
677,2023-04-11 13:21:44.838000
676,2023-04-11 13:21:45.514000
692,2023-04-11 13:21:46.206000
698,2023-04-11 13:21:46.904000
706,2023-04-11 13:21:47.610000
689,2023-04-11 13:21:48.299000
666,2023-04-11 13:21:48.965000
679,2023-04-11 13:21:49.644000
669,2023-04-11 13:21:50.313000
680,2023-04-11 13:21:50.993000
676,2023-04-11 13:21:51.669000
660,2023-04-11 13:21:52.329000
668,2023-04-11 13:21:52.997000
677,2023-04-11 13:21:53.674000
692,2023-04-11 13:21:54.366000
687,2023-04-11 13:21:55.053000
674,2023-04-11 13:21:55.727000
673,2023-04-11 13:21:56.400000
688,2023-04-11 13:21:57.088000
692,2023-04-11 13:21:57.780000
688,2023-04-11 13:21:58.468000
670,2023-04-11 13:21:59.138000
685,2023-04-11 13:21:59.823000
683,2023-04-11 13:22:00.506000
680,2023-04-11 13:22:01.186000
670,2023-04-11 13:22:01.856000
639,2023-04-11 13:22:02.495000
638,2023-04-11 13:22:03.133000
645,2023-04-11 13:22:03.778000
649,2023-04-11 13:22:04.427000
672,2023-04-11 13:22:05.099000
663,2023-04-11 13:22:05.762000
677,2023-04-11 13:22:06.439000
695,2023-04-11 13:22:07.134000
715,2023-04-11 13:22:07.849000
712,2023-04-11 13:22:08.561000
710,2023-04-11 13:22:09.271000
727,2023-04-11 13:22:09.998000
729,2023-04-11 13:22:10.727000
728,2023-04-11 13:22:11.455000
