RR,time
611,2023-04-11 13-27-15.573000
612,2023-04-11 13-27-16.185000
613,2023-04-11 13-27-16.798000
631,2023-04-11 13-27-17.429000
624,2023-04-11 13-27-18.053000
618,2023-04-11 13-27-18.671000
621,2023-04-11 13-27-19.292000
620,2023-04-11 13-27-19.912000
615,2023-04-11 13-27-20.527000
611,2023-04-11 13-27-21.138000
630,2023-04-11 13-27-21.768000
628,2023-04-11 13-27-22.396000
629,2023-04-11 13-27-23.025000
623,2023-04-11 13-27-23.648000
631,2023-04-11 13-27-24.279000
647,2023-04-11 13-27-24.926000
655,2023-04-11 13-27-25.581000
632,2023-04-11 13-27-26.213000
632,2023-04-11 13-27-26.845000
624,2023-04-11 13-27-27.469000
614,2023-04-11 13-27-28.083000
600,2023-04-11 13-27-28.683000
584,2023-04-11 13-27-29.267000
590,2023-04-11 13-27-29.857000
589,2023-04-11 13-27-30.446000
608,2023-04-11 13-27-31.054000
761,2023-04-11 13-27-31.815000
754,2023-04-11 13-27-32.569000
768,2023-04-11 13-27-33.337000
747,2023-04-11 13-27-34.084000
733,2023-04-11 13-27-34.817000
703,2023-04-11 13-27-35.520000
681,2023-04-11 13-27-36.201000
650,2023-04-11 13-27-36.851000
620,2023-04-11 13-27-37.471000
626,2023-04-11 13-27-38.097000
623,2023-04-11 13-27-38.720000
626,2023-04-11 13-27-39.346000
634,2023-04-11 13-27-39.980000
640,2023-04-11 13-27-40.620000
635,2023-04-11 13-27-41.255000
625,2023-04-11 13-27-41.880000
628,2023-04-11 13-27-42.508000
632,2023-04-11 13-27-43.140000
637,2023-04-11 13-27-43.777000
624,2023-04-11 13-27-44.401000
613,2023-04-11 13-27-45.014000
617,2023-04-11 13-27-45.631000
618,2023-04-11 13-27-46.249000
616,2023-04-11 13-27-46.865000
603,2023-04-11 13-27-47.468000
604,2023-04-11 13-27-48.072000
601,2023-04-11 13-27-48.673000
608,2023-04-11 13-27-49.281000
596,2023-04-11 13-27-49.877000
598,2023-04-11 13-27-50.475000
595,2023-04-11 13-27-51.070000
605,2023-04-11 13-27-51.675000
602,2023-04-11 13-27-52.277000
607,2023-04-11 13-27-52.884000
603,2023-04-11 13-27-53.487000
607,2023-04-11 13-27-54.094000
592,2023-04-11 13-27-54.686000
594,2023-04-11 13-27-55.280000
591,2023-04-11 13-27-55.871000
590,2023-04-11 13-27-56.461000
577,2023-04-11 13-27-57.038000
573,2023-04-11 13-27-57.611000
580,2023-04-11 13-27-58.191000
592,2023-04-11 13-27-58.783000
606,2023-04-11 13-27-59.389000
598,2023-04-11 13-27-59.987000
612,2023-04-11 13-28-00.599000
622,2023-04-11 13-28-01.221000
656,2023-04-11 13-28-01.877000
660,2023-04-11 13-28-02.537000
678,2023-04-11 13-28-03.215000
692,2023-04-11 13-28-03.907000
692,2023-04-11 13-28-04.599000
682,2023-04-11 13-28-05.281000
638,2023-04-11 13-28-05.919000
634,2023-04-11 13-28-06.553000
618,2023-04-11 13-28-07.171000
610,2023-04-11 13-28-07.781000
592,2023-04-11 13-28-08.373000
590,2023-04-11 13-28-08.963000
597,2023-04-11 13-28-09.560000
616,2023-04-11 13-28-10.176000
641,2023-04-11 13-28-10.817000
649,2023-04-11 13-28-11.466000
678,2023-04-11 13-28-12.144000
699,2023-04-11 13-28-12.843000
710,2023-04-11 13-28-13.553000
710,2023-04-11 13-28-14.263000
679,2023-04-11 13-28-14.942000
689,2023-04-11 13-28-15.631000
685,2023-04-11 13-28-16.316000
660,2023-04-11 13-28-16.976000
642,2023-04-11 13-28-17.618000
637,2023-04-11 13-28-18.255000
629,2023-04-11 13-28-18.884000
625,2023-04-11 13-28-19.509000
618,2023-04-11 13-28-20.127000
604,2023-04-11 13-28-20.731000
605,2023-04-11 13-28-21.336000
608,2023-04-11 13-28-21.944000
622,2023-04-11 13-28-22.566000
630,2023-04-11 13-28-23.196000
616,2023-04-11 13-28-23.812000
614,2023-04-11 13-28-24.426000
617,2023-04-11 13-28-25.043000
625,2023-04-11 13-28-25.668000
621,2023-04-11 13-28-26.289000
612,2023-04-11 13-28-26.901000
615,2023-04-11 13-28-27.516000
613,2023-04-11 13-28-28.129000
604,2023-04-11 13-28-28.733000
585,2023-04-11 13-28-29.318000
577,2023-04-11 13-28-29.895000
582,2023-04-11 13-28-30.477000
590,2023-04-11 13-28-31.067000
617,2023-04-11 13-28-31.684000
627,2023-04-11 13-28-32.311000
625,2023-04-11 13-28-32.936000
656,2023-04-11 13-28-33.592000
681,2023-04-11 13-28-34.273000
705,2023-04-11 13-28-34.978000
680,2023-04-11 13-28-35.658000
672,2023-04-11 13-28-36.330000
674,2023-04-11 13-28-37.004000
675,2023-04-11 13-28-37.679000
655,2023-04-11 13-28-38.334000
640,2023-04-11 13-28-38.974000
632,2023-04-11 13-28-39.606000
638,2023-04-11 13-28-40.244000
637,2023-04-11 13-28-40.881000
639,2023-04-11 13-28-41.520000
616,2023-04-11 13-28-42.136000
596,2023-04-11 13-28-42.732000
605,2023-04-11 13-28-43.337000
595,2023-04-11 13-28-43.932000
579,2023-04-11 13-28-44.511000
572,2023-04-11 13-28-45.083000
594,2023-04-11 13-28-45.677000
614,2023-04-11 13-28-46.291000
623,2023-04-11 13-28-46.914000
640,2023-04-11 13-28-47.554000
646,2023-04-11 13-28-48.200000
641,2023-04-11 13-28-48.841000
632,2023-04-11 13-28-49.473000
646,2023-04-11 13-28-50.119000
645,2023-04-11 13-28-50.764000
633,2023-04-11 13-28-51.397000
610,2023-04-11 13-28-52.007000
622,2023-04-11 13-28-52.629000
623,2023-04-11 13-28-53.252000
626,2023-04-11 13-28-53.878000
611,2023-04-11 13-28-54.489000
614,2023-04-11 13-28-55.103000
623,2023-04-11 13-28-55.726000
617,2023-04-11 13-28-56.343000
612,2023-04-11 13-28-56.955000
609,2023-04-11 13-28-57.564000
623,2023-04-11 13-28-58.187000
636,2023-04-11 13-28-58.823000
627,2023-04-11 13-28-59.450000
613,2023-04-11 13-29-00.063000
614,2023-04-11 13-29-00.677000
623,2023-04-11 13-29-01.300000
