RR,time
685,2023-04-13 14-33-40.098000
761,2023-04-13 14-33-40.859000
832,2023-04-13 14-33-41.691000
756,2023-04-13 14-33-42.447000
697,2023-04-13 14-33-43.144000
799,2023-04-13 14-33-43.943000
767,2023-04-13 14-33-44.710000
668,2023-04-13 14-33-45.378000
740,2023-04-13 14-33-46.118000
823,2023-04-13 14-33-46.941000
791,2023-04-13 14-33-47.732000
741,2023-04-13 14-33-48.473000
834,2023-04-13 14-33-49.307000
860,2023-04-13 14-33-50.167000
729,2023-04-13 14-33-50.896000
706,2023-04-13 14-33-51.602000
766,2023-04-13 14-33-52.368000
693,2023-04-13 14-33-53.061000
651,2023-04-13 14-33-53.712000
701,2023-04-13 14-33-54.413000
700,2023-04-13 14-33-55.113000
699,2023-04-13 14-33-55.812000
786,2023-04-13 14-33-56.598000
709,2023-04-13 14-33-57.307000
693,2023-04-13 14-33-58.000000
781,2023-04-13 14-33-58.781000
716,2023-04-13 14-33-59.497000
663,2023-04-13 14-34-00.160000
705,2023-04-13 14-34-00.865000
743,2023-04-13 14-34-01.608000
723,2023-04-13 14-34-02.331000
645,2023-04-13 14-34-02.976000
700,2023-04-13 14-34-03.676000
721,2023-04-13 14-34-04.397000
771,2023-04-13 14-34-05.168000
798,2023-04-13 14-34-05.966000
803,2023-04-13 14-34-06.769000
781,2023-04-13 14-34-07.550000
781,2023-04-13 14-34-08.331000
766,2023-04-13 14-34-09.097000
773,2023-04-13 14-34-09.870000
711,2023-04-13 14-34-10.581000
646,2023-04-13 14-34-11.227000
670,2023-04-13 14-34-11.897000
704,2023-04-13 14-34-12.601000
825,2023-04-13 14-34-13.426000
838,2023-04-13 14-34-14.264000
726,2023-04-13 14-34-14.990000
710,2023-04-13 14-34-15.700000
738,2023-04-13 14-34-16.438000
783,2023-04-13 14-34-17.221000
846,2023-04-13 14-34-18.067000
801,2023-04-13 14-34-18.868000
754,2023-04-13 14-34-19.622000
722,2023-04-13 14-34-20.344000
710,2023-04-13 14-34-21.054000
701,2023-04-13 14-34-21.755000
683,2023-04-13 14-34-22.438000
696,2023-04-13 14-34-23.134000
656,2023-04-13 14-34-23.790000
616,2023-04-13 14-34-24.406000
630,2023-04-13 14-34-25.036000
705,2023-04-13 14-34-25.741000
791,2023-04-13 14-34-26.532000
653,2023-04-13 14-34-27.185000
672,2023-04-13 14-34-27.857000
722,2023-04-13 14-34-28.579000
789,2023-04-13 14-34-29.368000
844,2023-04-13 14-34-30.212000
841,2023-04-13 14-34-31.053000
813,2023-04-13 14-34-31.866000
703,2023-04-13 14-34-32.569000
686,2023-04-13 14-34-33.255000
732,2023-04-13 14-34-33.987000
747,2023-04-13 14-34-34.734000
681,2023-04-13 14-34-35.415000
678,2023-04-13 14-34-36.093000
710,2023-04-13 14-34-36.803000
802,2023-04-13 14-34-37.605000
